epoch,accuracy,loss,val_accuracy,val_loss
0,0.3239750564098358,1.7860790491104126,0.37768179178237915,1.722849726676941
1,0.42990002036094666,1.5170260667800903,0.41501811146736145,1.5677504539489746
2,0.4746943414211273,1.4086430072784424,0.45750904083251953,1.473253607749939
3,0.4940262734889984,1.338565707206726,0.48899415135383606,1.3849351406097412
4,0.5125222206115723,1.297586441040039,0.5101699829101562,1.3030626773834229
5,0.5258978009223938,1.253995418548584,0.5158818364143372,1.2873307466506958
6,0.5361036658287048,1.2311079502105713,0.5241014361381531,1.285368800163269
7,0.5445330739021301,1.2150171995162964,0.5292560458183289,1.299536108970642
8,0.5535894632339478,1.1902596950531006,0.5397046804428101,1.215433955192566
9,0.5600334405899048,1.1737722158432007,0.5548899173736572,1.1975080966949463
